,BL21.1,BL21.2,HS.1,HS.2,CFT073.1,CFT073.2,W3110.1,W3110.2,O157.1,O157.2,Crooks.1,Crooks.2,control__wt_glc__1,control__wt_glc__2,BW25113.1,BW25113.2
b0002,9.9564747134473,9.88248776616336,9.75819076772709,9.72224336057863,8.77878680527624,8.77809839672155,11.051267130404,11.0630984868405,9.80676284506532,9.917788910405811,9.567603855939119,9.5955033935981,11.006652515850899,11.1301957855511,10.2085867025011,10.2183513997359
b0003,9.66029470493631,9.64644984788506,9.34088302722156,9.35309635584083,8.273014091089589,8.20576804504772,10.459465260549301,10.475906277347699,9.33871614335061,9.528700326225222,9.255840700016211,9.29275908579362,10.415654135612801,10.523137943063901,9.609636855977461,9.67793137784149
b0004,9.565738949139169,9.480324452508711,9.458358626159491,9.43945539161908,8.68212226777774,8.59582076000885,10.390698075362199,10.3811458407074,9.800511404004231,9.85338536278432,9.31316709464183,9.30807658865115,10.5948710885387,10.7250620258188,9.883558269471331,9.87035627974682
b0014,10.431664765751801,10.4077150320995,10.562682202632999,10.473558487358499,10.2325080181152,10.2309030598656,10.618153346586,10.677474216694302,10.64916495278,10.5796524272669,10.344358164963,10.3694654905836,10.307866354115301,10.381347759142999,10.569601796327301,10.5577027582315
b0015,8.18120690470297,8.140445554367991,8.16098997414731,8.237027934538581,8.64537531491125,8.600162323435269,8.48623804883016,8.442597881736031,8.6660898900354,8.84547972934835,8.26717526486413,8.368835496130151,7.87424776092846,8.184379677834281,8.07228814626806,8.14946914145096
b0032,9.28390484048471,9.26208724327181,9.75101941858165,9.73910424458969,9.38032700414381,9.47695188830684,10.2638263141151,10.3006648759476,9.721922993752631,9.733749100555288,9.702915211009632,9.76417031886471,10.668111192224599,10.714830212668199,9.5973156199852,9.519147036447631
b0033,9.074558247816821,9.01442846161998,9.55938145520814,9.45858623499077,9.076729420358589,9.02246562977781,10.080096137317598,10.129999405669901,9.2099830752376,9.27228970650408,9.54750595540613,9.526975507024149,10.6293946360713,10.816656508193601,9.73993056051521,9.79499177607059
b0034,4.00782933416902,4.10709575821061,5.77764511703617,5.427300296855309,4.57623686971868,5.011708246485281,6.39451002936183,6.4089425175365,5.653334738964901,5.69290194821097,5.161326922173441,5.3174162586865705,4.98686658550194,4.58063125186361,5.798479945915151,5.581417637405701
b0061,1.93055064643554,2.60187033970236,2.33793361723556,1.1576088836912,3.1879652406526,3.09978453650345,1.7174543453827,1.52493670102234,2.19444806414829,2.2775112262602404,2.4645251218800603,2.94637482302137,1.69713111412177,1.9066437016435,0.412712358545141,0.666199223987461
b0062,3.15080915058544,3.0812845799647004,2.7070910247482,3.40712515172119,3.1756644093495203,2.928436989465,2.36478756375238,2.22384273324502,2.69580102757829,2.94164438056906,3.23932589048821,3.0969319715259505,2.36655357932644,3.11183671737986,0.0,0.0
