,EX_tre_e,EX_co1dam_e,EX_phe__L_e,EX_thm_e,EX_leu__L_e,EX_dachi_e,EX_k_e,EX_pydxn_e,EX_ac_e,EX_cdpg_e,EX_etoh_e,EX_malt_e,EX_galt_e,EX_Glc_aD_e,EX_glyc_e,EX_mnl_e,EX_d23hb_e,EX_gly_e,EX_gln__L_e,EX_isobuta_e,EX_fe2_e,EX_m4po_e,EX_tmam_e,EX_lys__L_e,EX_ad_e,EX_tagur_e,EX_cobalt2_e,EX_chol_e,EX_ala__L_e,EX_ca2_e,EX_acetone_e,EX_m2but_e,EX_uri_e,EX_xan_e,EX_2ddglcn_e,EX_dad_2_e,EX_escut_e,EX_ins_e,EX_ribflv_e,EX_escul_e,EX_fru_e,EX_nac_e,EX_glc__D_e,EX_arg__L_e,EX_gthrd_e,EX_ile__L_e,EX_mg2_e,EX_dcyt_e,EX_mevR_e,EX_csn_e,EX_fuc_e,EX_pro__L_e,EX_xyl__D_e,EX_pi_e,EX_tyr__L_e,EX_dhptd_e,EX_acnam_e,EX_trp__L_e,EX_sbt__D_e,EX_raffin_e,EX_so3_e,EX_arab__L_e,EX_cellb_e,EX_ncam_e,EX_chor_e,EX_ptrc_e,EX_met__L_e,EX_abg4_e,EX_asp__L_e,EX_ibtol_e,EX_cys__L_e,EX_gal_bD_e,EX_thr__L_e,EX_ppat_e,EX_succ_e,EX_isocap_e,EX_for_e,EX_dtbt_e,EX_glcn_e,EX_no2_e,EX_23dappa_e,EX_man_e,EX_his__L_e,EX_btn_e,EX_a5pn_e,EX_thymd_e,EX_ser__L_e,EX_g3p_e,EX_h2_e,EX_hxan_e,EX_2ameph_e,EX_man6pglyc_e,EX_ival_e,EX_acgam_e,EX_pnto__R_e,EX_na1_e,EX_mal__L_e,EX_tgt_e,EX_zn2_e,EX_ura_e,EX_adn_e,EX_nh4_e,EX_h_e,EX_rib__D_e,EX_asn__L_e,EX_sucr_e,EX_co2_e,EX_uaccg_e,EX_glyb_e,EX_spmd_e,EX_ham_e,EX_val__L_e,EX_met__D_e,EX_h2o_e,EX_glu__L_e,EX_hco3_e,EX_4abz_e,EX_etha_e,EX_no3_e,EX_akg_e,EX_sel_e,EX_slnt_e,EX_gthox_e,EX_lac__L_e,EX_fum_e,EX_acgal_e,EX_salcn_e,EX_2hxmp_e,EX_arbt_e,EX_hqn_e,EX_gam_e
iCN900,0.09070294784580508,0.0,0.0,0.0,0.0,0.9977324263038523,0.0,0.0,0.0,0.0,0.0,0.09070294784580506,0.09070294784580511,0.09070294784580453,0.09070294784580446,0.09070294784580461,0.0,0.14864730948369853,0.28549676437000504,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580483,0.0,0.0,0.2764738408686433,0.0,0.0,0.0,0.441375693746448,0.1759324419422939,0.09070294784580496,0.7118504364767186,0.0,0.6118702834998974,0.0,0.09070294784580511,0.09070294784580289,0.0,0.09070294784580424,0.43880213029417936,0.0,0.0,0.0,0.4665991785061847,0.0,0.0,0.09070294784580482,0.0,0.09070294784580522,0.0,0.0,0.0,0.5442176870748288,0.0,0.09070294784580789,0.0907029478458061,0.0,0.09070294784580467,0.09070294784580486,0.0,0.09070294784580557,0.0,0.0,0.0,0.3173576680798056,0.0,0.0,0.09070294784580658,0.19536264889424665,0.0,0.0,0.0,0.0,0.0,0.0907029478458077,0.0,0.26260725470095364,0.0907029478458056,0.0,0.0,0.0,0.0,0.2649022791361552,0.0,0.0,0.17593244194229443,0.311768373745586,0.09070294784579415,0.0,0.5442176870748276,0.0,0.0,0.09070294784579665,0.09070294784580542,0.0,0.0,0.6118702834999027,0.0,0.0,0.09070294784580596,0.31827244120967485,0.09070294784580564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665602326343844,0.0,0.0,0.0,0.0,0.0907029478458071,0.0,0.0,0.0,0.00609095006639129,0.09070294784580474,0.09070294784580207,0.09070294784580503,0.0,0.09070294784580592,0.0,0.5219871158302144
WUp9,0.09070294784580318,0.0,0.0,0.0,0.0,0.9977324263038574,0.0,0.0,0.0,0.0,0.0,0.09070294784580467,0.09070294784580493,0.09070294784580273,0.09070294784580472,0.09070294784581519,0.0,0.1486473094836982,0.28549676437000254,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580483,0.0,0.0,0.2764738408687165,0.0,0.0,0.0,0.44137569374644775,0.17593244194229662,0.09070294784580439,0.7118504364767297,0.0,0.6118702834998959,0.0,0.09070294784580446,0.09070294784580296,0.0,0.09070294784581716,0.4388021302941767,0.0,0.0,0.0,0.46659917850618277,0.0,0.0,0.09070294784580472,0.0,0.09070294784580522,0.0,0.0,0.0,0.5442176870748314,0.0,0.09070294784580867,0.09070294784580463,0.0,0.09070294784580868,0.090702947845805,0.0,0.09070294784580825,0.0,0.0,0.0,0.31735766807984006,0.0,0.0,0.09070294784580678,0.19536264889424756,0.0,0.0,0.0,0.0,0.0,0.09070294784580088,0.0,0.2626072547009564,0.09070294784580449,0.0,0.0,0.0,0.0,0.2649022791361977,0.0,0.0,0.17593244194229443,0.31176837374556643,0.09070294784580447,0.0,0.0,0.0,0.0,0.0907029478458103,0.09070294784580486,0.0,0.0,0.6118702834998994,0.0,0.0,0.09070294784581656,0.3182724412096761,0.09070294784580464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266560232634383,0.0,0.0,0.0,0.0,0.09070294784581516,0.0,0.0,0.0,0.0060909500663914136,0.09070294784580488,0.09070294784580489,0.0,0.0,0.0,0.0,0.5219871158302154
WUp8,0.09070294784580456,0.0,0.0,0.0,0.0,0.9977324263038786,0.0,0.0,0.0,0.0,0.0,0.09070294784580338,0.09070294784580564,0.0907029478458051,0.09070294784580449,0.09070294784580415,0.0,0.14864730948369786,0.28549676437000365,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580439,0.0,0.0,0.27647384086871696,0.0,0.0,0.0,0.44137569374645064,0.17593244194229124,0.0907029478458068,0.7118504364767148,0.0,0.6118702834998971,0.0,0.09070294784580446,0.09070294784579873,0.0,0.09070294784580472,0.43880213029417947,0.0,0.0,0.0,0.466599178506195,0.0,0.0,0.09070294784580457,0.0,0.09070294784580318,0.0,0.0,0.0,0.5442176870748313,0.0,0.0907029478458092,0.0907029478458045,0.0,0.09070294784580459,0.09070294784580564,0.0,0.09070294784580486,0.0,0.0,0.0,0.3173576680798064,0.0,0.0,0.09070294784580363,0.19536264889424504,0.0,0.0,0.0,0.0,0.0,0.09070294784580585,0.0,0.2626072547009507,0.09070294784580589,0.0,0.0,0.0,0.0,0.26490227913619974,0.0,0.0,0.17593244194229404,0.31176837374557215,0.09070294784580467,0.0,0.5442176870748299,0.0,0.0,0.0907029478458049,0.09070294784580478,0.0,0.0,0.6118702834999016,0.0,0.0,0.09070294784580595,0.31827244120967524,0.09070294784580535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26656023263438067,0.0,0.0,0.0,0.0,0.09070294784588667,0.0,0.0,0.0,0.0060909500663913355,0.09070294784580578,0.09070294784581273,0.0,0.0,0.0,0.0,0.5219871158302147
BBL1,0.09070294784580517,0.0,0.0,0.0,0.0,0.9977324263038618,0.0,0.0,0.0,0.0,0.0,0.09070294784580528,0.09070294784580328,0.09070294784580446,0.09070294784580529,0.09070294784580436,0.0,0.14864730948369914,0.285496764370005,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784579941,0.0,0.0,0.2764738408688629,0.0,0.0,0.0,0.44137569374644836,0.1759324419422944,0.09070294784580603,0.7118504364767116,0.0,0.6118702834998989,0.0,0.09070294784580497,0.09070294784580403,0.0,0.09070294784582747,0.43880213029417475,0.0,0.0,0.0,0.4665991785061474,0.0,0.0,0.09070294784579956,0.0,0.09070294784580524,0.0,0.0,0.0,0.5442176870748335,0.0,0.09070294784580661,0.09070294784580528,0.0,0.09070294784580489,0.09070294784581576,0.0,0.09070294784580489,0.0,0.0,0.0,0.3173576680798071,0.0,0.0,0.09070294784580575,0.19536264889424818,0.0,0.0,0.0,0.0,0.0,0.09070294784580538,0.0,0.262607254700951,0.09070294784580432,0.0,0.0,0.0,0.0,0.264902279136197,0.0,0.0,0.17593244194229177,0.31176837374557403,0.09070294784580536,0.0,0.544217687074828,0.0,0.0,0.09070294784580502,0.09070294784580438,0.0,0.0,0.6118702834998967,0.0,0.0,0.09070294784580542,0.3182724412096767,0.09070294784582364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665602326343851,0.0,0.0,0.0,0.0,0.09070294784580159,0.0,0.0,0.0,0.006090950066391305,0.09070294784580486,0.0907029478458047,0.0,0.0,0.0,0.0,0.5219871158302165
BBL2,0.09070294784580381,0.0,0.0,0.0,0.0,0.9977324263038501,0.0,0.0,0.0,0.0,0.0,0.09070294784580958,0.09070294784580363,0.09070294784580614,0.09070294784580568,0.09070294784580334,0.0,0.14864730948369909,0.28549676437000365,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580467,0.0,0.0,0.2764738408687202,0.0,0.0,0.0,0.4413756937464467,0.17593244194228735,0.09070294784580266,0.7118504364767169,0.0,0.611870283499897,0.0,0.09070294784580528,0.09070294784580465,0.0,0.09070294784580793,0.4388021302941788,0.0,0.0,0.0,0.4665991785061772,0.0,0.0,0.09070294784580901,0.0,0.09070294784580431,0.0,0.0,0.0,0.5442176870748343,0.0,0.09070294784580639,0.09070294784580511,0.0,0.09070294784580483,0.09070294784580493,0.0,0.09070294784580436,0.0,0.0,0.0,0.3173576680798045,0.0,0.0,0.09070294784580467,0.1953626488942492,0.0,0.0,0.0,0.0,0.0,0.09070294784580812,0.0,0.2626072547009506,0.09070294784580445,0.0,0.0,0.0,0.0,0.2649022791361981,0.0,0.0,0.17593244194229699,0.3117683737455877,0.09070294784580635,0.0,0.5442176870748324,0.0,0.0,0.09070294784580486,0.09070294784580848,0.0,0.0,0.6118702834998965,0.0,0.0,0.09070294784580475,0.31827244120967485,0.09070294784580545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665602326343833,0.0,0.0,0.0,0.0,0.0907029478458053,0.0,0.0,0.0,0.006090950066391355,0.09070294784580556,0.09070294784579838,0.0,0.0,0.0,0.0,0.521987115830215
BBL3,0.09070294784580475,0.0,0.0,0.0,0.0,0.9977324263038564,0.0,0.0,0.0,0.0,0.0,0.09070294784580367,0.09070294784580578,0.09070294784580477,0.09070294784579964,0.0907029478458043,0.0,0.1486473094836993,0.28549676437000554,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580361,0.0,0.0,0.27647384086870713,0.0,0.0,0.0,0.4413756937464501,0.17593244194229415,0.09070294784580418,0.7118504364767037,0.0,0.6118702834998999,0.0,0.09070294784580472,0.09070294784580464,0.0,0.09070294784580452,0.43880213029417636,0.0,0.0,0.0,0.46659917850618254,0.0,0.0,0.09070294784580046,0.0,0.09070294784580919,0.0,0.0,0.0,0.5442176870748305,0.0,0.09070294784580436,0.09070294784580493,0.0,0.09070294784580499,0.09070294784580452,0.0,0.0907029478458042,0.0,0.0,0.0,0.31735766807980637,0.0,0.0,0.09070294784577776,0.19536264889424756,0.0,0.0,0.0,0.0,0.0,0.09070294784580733,0.0,0.26260725470094937,0.09070294784580497,0.0,0.0,0.0,0.0,0.2649022791361996,0.0,0.0,0.17593244194229443,0.31176837374557304,0.09070294784580539,0.0,0.0,0.0,0.0,0.09070294784584168,0.09070294784580303,0.0,0.0,0.6118702834999028,0.0,0.0,0.09070294784580389,0.31827244120967496,0.09070294784580497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665602326343904,0.0,0.0,0.0,0.0,0.09070294784580142,0.0,0.0,0.0,0.006090950066391392,0.09070294784580211,0.0907029478458031,0.0,0.0,0.0,0.0,0.5219871158302158
BBL4,0.09070294784580463,0.0,0.0,0.0,0.0,0.9977324263038512,0.0,0.0,0.0,0.0,0.0,0.09070294784580685,0.09070294784580522,0.09070294784580606,0.09070294784580765,0.09070294784580546,0.0,0.14864730948369845,0.28549676437000304,0.0,0.0,0.0,0.0,0.0,0.0,0.0907029478458052,0.0,0.0,0.2764738408686815,0.0,0.0,0.0,0.441375693746449,0.17593244194228544,0.09070294784580463,0.7118504364767118,0.0,0.6118702834998966,0.0,0.09070294784580506,0.09070294784580424,0.0,0.09070294784580442,0.43880213029417714,0.0,0.0,0.0,0.46659917850618376,0.0,0.0,0.09070294784580485,0.0,0.09070294784580589,0.0,0.0,0.0,0.5442176870748296,0.0,0.09070294784578625,0.0907029478458049,0.0,0.09070294784580271,0.09070294784580428,0.0,0.09070294784580485,0.0,0.0,0.0,0.31735766807980587,0.0,0.0,0.09070294784580477,0.19536264889424548,0.0,0.0,0.0,0.0,0.0,0.09070294784576732,0.0,0.26260725470094987,0.09070294784581492,0.0,0.0,0.0,0.0,0.26490227913619685,0.0,0.0,0.17593244194229418,0.31176837374562594,0.0907029478458055,0.0,0.0,0.0,0.0,0.09070294784580465,0.0907029478458083,0.0,0.0,0.611870283499907,0.0,0.0,0.09070294784580539,0.3182724412096751,0.0907029478458067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665602326343844,0.0,0.0,0.0,0.0,0.09070294784580567,0.0,0.0,0.0,0.006090950066391369,0.09070294784580499,0.09070294784580532,0.0,0.0,0.0,0.0,0.5219871158302125
x678B,0.0,0.0,0.0,0.0,0.0,0.9977324263038512,0.0,0.0,0.0,0.0,0.0,0.09070294784580483,0.09070294784580546,0.09070294784579842,0.09070294784580622,0.09070294784580675,0.0,0.14864730948369848,0.2854967643700043,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580465,0.0,0.0,0.2764738408687171,0.0,0.0,0.0,0.4413756937464468,0.17593244194229515,0.09070294784580428,0.711850436476713,0.0,0.6118702834998992,0.0,0.0907029478458055,0.09070294784570994,0.0,0.09070294784580557,0.4388021302941787,0.0,0.0,0.0,0.4665991785061669,0.0,0.0,0.09070294784580446,0.0,0.09070294784580465,0.0,0.0,0.0,0.5442176870756659,0.0,0.09070294784580545,0.09070294784580209,0.0,0.09070294784580528,0.09070294784580456,0.0,0.09070294784580346,0.0,0.0,0.0,0.3173576680798074,0.0,0.0,0.09070294784580488,0.19536264889424826,0.0,0.0,0.0,0.0,0.0,0.09070294784580549,0.0,0.2626072547009514,0.0907029478458048,0.0,0.0,0.0,0.0,0.2649022791361986,0.0,0.0,0.17593244194229699,0.31176837374557514,0.09070294784580707,0.0,0.0,0.0,0.0,0.09070294784580396,0.09070294784580417,0.0,0.0,0.6118702834998975,0.0,0.0,0.09070294784580725,0.3182724412096758,0.09070294784574794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26656023263438505,0.0,0.0,0.0,0.0,0.09070294784580615,0.0,0.0,0.0,0.006090950066391349,0.09070294784580467,0.09070294784580417,0.0,0.0,0.0,0.0,0.5219871158302125
x190B,0.09070294784580483,0.0,0.0,0.0,0.0,0.9977324263038523,0.0,0.0,0.0,0.0,0.0,0.09070294784580367,0.09070294784580461,0.09070294784580497,0.0907029478457974,0.09070294784580882,0.0,0.14864730948369542,0.2854967643700035,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580477,0.0,0.0,0.27647384086871646,0.0,0.0,0.0,0.4413756937464361,0.17593244194229507,0.0907029478458037,0.7118504364767135,0.0,0.6118702834998979,0.0,0.0907029478458048,0.09070294784580495,0.0,0.0907029478458059,0.4388021302941789,0.0,0.0,0.0,0.4665991785061843,0.0,0.0,0.09070294784582189,0.0,0.0907029478457986,0.0,0.0,0.0,0.54421768707479,0.0,0.09070294784580502,0.09070294784580413,0.0,0.09070294784579974,0.09070294784580493,0.0,0.09070294784580513,0.0,0.0,0.0,0.3173576680798074,0.0,0.0,0.09070294784581188,0.19536264889424637,0.0,0.0,0.0,0.0,0.0,0.09070294784580527,0.0,0.2626072547009512,0.09070294784580572,0.0,0.0,0.0,0.0,0.2649022791363968,0.0,0.0,0.17593244194229649,0.3117683737455811,0.09070294784579924,0.0,0.0,0.0,0.0,0.09070294784580327,0.09070294784580611,0.0,0.0,0.611870283499897,0.0,0.0,0.09070294784580935,0.31827244120967413,0.09070294784580517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26656023263438905,0.0,0.0,0.0,0.0,0.0907029478458096,0.0,0.0,0.0,0.006090950066391277,0.09070294784580722,0.09070294784580613,0.0,0.0,0.0,0.0,0.5219871158302173
x1002,0.09070294784580556,0.0,0.0,0.0,0.0,0.9977324263038544,0.0,0.0,0.0,0.0,0.0,0.09070294784580488,0.09070294784580506,0.0907029478458025,0.09070294784580638,0.09070294784580722,0.0,0.14356867552374974,0.27624309392265267,0.0,0.0,0.0,0.0,0.0,0.0,0.09070294784580485,0.0,0.0,0.27145369354058296,0.0,0.0,0.0,0.43803933593236605,0.1759324419422867,0.0907029478458058,0.7079934338308075,0.0,0.6118702834998981,0.0,0.09070294784580517,0.09070294784580502,0.0,0.09070294784580465,0.4342005282773114,0.0,0.0,0.0,0.466599178506186,0.0,0.0,0.09070294784580671,0.0,0.09070294784580539,0.0,0.0,0.0,0.5442176870749402,0.0,0.09070294784580467,0.0907029478458046,0.0,0.09070294784580264,0.09070294784580572,0.0,0.09070294784580576,0.0,0.0,0.0,0.31237985390234496,0.0,0.0,0.09070294784580449,0.19035461945872129,0.0,0.0,0.0,0.0,0.0,0.0907029478458032,0.0,0.2535167504660761,0.090702947845805,0.0,0.0,0.0,0.0,0.25648405227872967,0.0,0.0,0.1759324419422944,0.30686069704587393,0.09070294784580614,0.0,0.5442176870748262,0.0,0.0,0.09070294784580527,0.09070294784580495,0.0,0.0,0.6118702834998981,0.0,0.0,0.09070294784580527,0.31328320802004916,0.09070294784580499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25735504960715727,0.0,0.0,0.0,0.0,0.09070294784580882,0.0,0.0,0.0,0.0,0.09070294784580624,0.09070294784582579,0.0,0.0,0.0,0.0,0.5173999693392572
